SKU,Marca,Modelo,PrecioNormal,PrecioInternet,Descripcion,Imagen,Categoria1,Categoria2,Categoria3,Categoria4,Categoria5,Categoria6,Categoria7,Categoria8
3877389,Playskool,Sr. Cara de Papa Futbolista,0,5990,a,http://integra.ing.puc.cl/IMAGENESTI/3877389.jpeg,Deportes,Zapatillas,Zapatillas Hombre,,,,,
3761873,Sybilla,Polera Manga Larga Crudo,0,16990,a,http://integra.ing.puc.cl/IMAGENESTI/3761873.jpeg,Moda  ,Marcas Moda,Americanino,,,,,
3349848,Mica,Cama Lorena 2 Plazas Nogal respaldo Reversible Nogal- Negro ,139900,89990,a,http://integra.ing.puc.cl/IMAGENESTI/3349848.jpeg,Dormitorio,Divanes y Otros,Camarotes,,,,,
1974863,St. Ives,Crema Hidratante y Reafirmante,0,6990,a,http://integra.ing.puc.cl/IMAGENESTI/1974863.jpeg,Belleza,Rostro,Hidratantes,,,,,
3634975,Lacoste,Zapatilla Azul Ramer Hi,0,64800,a,http://integra.ing.puc.cl/IMAGENESTI/3634975.jpeg,Calzado ,Marcas Calzado,,,,,,
3706667,Mango,Camisa Nixon8,0,34990,a,http://integra.ing.puc.cl/IMAGENESTI/3706667.jpeg,Moda  ,Marcas Moda,Sybilla ,,,,,
3548967,Simple by Puro,Chitra Plato Comida 28 cm Verde,0,5990,a,http://integra.ing.puc.cl/IMAGENESTI/3548967.jpeg,Decohogar,Comedor Fino,Copas Comedor Fino,,,,,
2616031,Coleman,Carpa Hooligan 3 Personas ,0,59990,a,http://integra.ing.puc.cl/IMAGENESTI/2616031.jpeg,Deportes,Otros Deportes,Camping ,Accesorios Camping,,,,
3787011,Lee,Jeans Desgastado 49500201ID,0,31990,a,http://integra.ing.puc.cl/IMAGENESTI/3787011.jpeg,Moda  ,Vestuario Hombre,Jeans,,,,,
3607445,Desigual,Cartera Estampada Rose,69990,44990,a,http://integra.ing.puc.cl/IMAGENESTI/3607445.jpeg,Moda  ,Carteras,Carteras Urbanas,,,,,
3469347,Bell,Casco Rex Godzilla Black,0,17990,a,http://integra.ing.puc.cl/IMAGENESTI/3469347.jpeg,Deportes,Accesorios Deportivos,,,,,,
3330338,Almond,Set de Spa White Tea ,6990,2090,a,http://integra.ing.puc.cl/IMAGENESTI/3330338.jpeg,Belleza,Spa,,,,,,
3710014,Adidas,Zapatilla Mujer Adria,0,25990,a,http://integra.ing.puc.cl/IMAGENESTI/3710014.jpeg,Especiales ,BUSCADOR ZAPATILLAS,Running,2 a 4 veces,Asfalto,Trail,Neutro,Futbol
3505506,Samsung,"Notebook Convertible 11"" 2GB Wi-Fi + 3G ",499990,329990,a,http://integra.ing.puc.cl/IMAGENESTI/3505506.jpeg,Ultraportable,,,,,,,
3466964,Saxoline,Mochila 14.1,0,22990,a,http://integra.ing.puc.cl/IMAGENESTI/3466964.jpeg,Decohogar,Falabella TV,,,,,,
3834965,Marini,Cartera Bandolera Turquesa,16990,10990,a,http://integra.ing.puc.cl/IMAGENESTI/3834965.jpeg,Moda  ,Carteras,Bolsos,,,,,
1820193,Mica,Silla de comedor Isidora crema,19990,16990,a,http://integra.ing.puc.cl/IMAGENESTI/1820193.jpeg,Especiales ,MacBook Air,,,,,,
3363178,Benefit,Polvo Compacto Bronceado,0,19490,a,http://integra.ing.puc.cl/IMAGENESTI/3363178.jpeg,Belleza,Marcas Belleza,Benefit,,,,,
